gym_name,location,membership_cost,amenities,website
AlphaFit 27,"Berlin, Germany",$49,"Zumba, Personal Training, HIIT, Swimming Pool",https://www.alphafit27.com
Core Strength 72,"Toronto, Canada",$82,"Massage, Boxing, Swimming Pool",https://www.corestrength72.com
AlphaFit 76,"Nairobi, Kenya",$68,"CrossFit, Showers, Personal Training, HIIT, Yoga",https://www.alphafit76.com
Pulse Fitness 41,"Dubai, UAE",AED 259,"Massage, Zumba, HIIT",https://www.pulsefitness41.com
Beast Mode 13,"New York, USA",$94,"CrossFit, Zumba, Massage",https://www.beastmode13.com
Fit Republic 74,"New York, USA",$82,"Weights, Personal Training, Yoga, Swimming Pool, Sauna, Massage",https://www.fitrepublic74.com
Titan Gym 63,"Sydney, Australia",$52,"Group Classes, Yoga, Cardio",https://www.titangym63.com
Titan Gym 14,"Dubai, UAE",AED 276,"Weights, Swimming Pool, HIIT, Boxing, Cardio, Personal Training",https://www.titangym14.com
AlphaFit 74,"Dubai, UAE",AED 216,"Sauna, Massage, Swimming Pool",https://www.alphafit74.com
Core Strength 99,"Dubai, UAE",AED 322,"Yoga, Zumba, Cardio, CrossFit, Showers",https://www.corestrength99.com
Flex Nation 73,"Toronto, Canada",$49,"Swimming Pool, Boxing, Juice Bar, Personal Training, Group Classes, Weights",https://www.flexnation73.com
Flex Nation 63,"Berlin, Germany",$81,"HIIT, Juice Bar, Cardio, CrossFit, Showers",https://www.flexnation63.com
Titan Gym 26,"Toronto, Canada",$78,"Massage, Personal Training, CrossFit, Sauna",https://www.titangym26.com
AlphaFit 57,"Lagos, Nigeria",₦15734,"Boxing, Zumba, CrossFit, Group Classes, Swimming Pool, Personal Training",https://www.alphafit57.com
Titan Gym 38,"Berlin, Germany",$67,"Juice Bar, Zumba, Personal Training",https://www.titangym38.com
Titan Gym 12,"Lagos, Nigeria",₦16758,"Weights, Juice Bar, Sauna, Swimming Pool, HIIT, Group Classes",https://www.titangym12.com
AlphaFit 20,"Dubai, UAE",AED 462,"Massage, Boxing, HIIT, Juice Bar",https://www.alphafit20.com
Iron Paradise 89,"Lagos, Nigeria",₦16187,"HIIT, Yoga, Cardio",https://www.ironparadise89.com
PowerCore 62,"Berlin, Germany",$53,"Boxing, Sauna, Weights",https://www.powercore62.com
Beast Mode 42,"New York, USA",$56,"Showers, Massage, Cardio",https://www.beastmode42.com
Pulse Fitness 4,"Berlin, Germany",$79,"Yoga, Showers, Swimming Pool, HIIT, Sauna, Group Classes",https://www.pulsefitness4.com
Fit Republic 56,"Nairobi, Kenya",$47,"Cardio, Weights, HIIT, Group Classes, Personal Training",https://www.fitrepublic56.com
Fit Republic 16,"Toronto, Canada",$85,"Massage, Juice Bar, Boxing, Zumba, Yoga",https://www.fitrepublic16.com
Beast Mode 2,"Los Angeles, USA",$42,"CrossFit, HIIT, Zumba, Massage, Sauna, Boxing",https://www.beastmode2.com
Pulse Fitness 23,"Dubai, UAE",AED 385,"Weights, Sauna, Group Classes, Showers",https://www.pulsefitness23.com
Iron Paradise 63,"Berlin, Germany",$44,"Showers, Personal Training, Weights, Boxing",https://www.ironparadise63.com
Pulse Fitness 68,"Lagos, Nigeria",₦27145,"Massage, Yoga, Sauna",https://www.pulsefitness68.com
Pulse Fitness 8,"Sydney, Australia",$46,"Personal Training, Zumba, Weights, Juice Bar, Massage, Group Classes",https://www.pulsefitness8.com
Beast Mode 24,"Toronto, Canada",$49,"Weights, Massage, CrossFit",https://www.beastmode24.com
Fit Republic 100,"Los Angeles, USA",$88,"Sauna, Massage, Swimming Pool",https://www.fitrepublic100.com
Core Strength 69,"Nairobi, Kenya",$71,"Personal Training, Showers, Juice Bar, Massage, Cardio",https://www.corestrength69.com
PowerCore 71,"Nairobi, Kenya",$47,"HIIT, Massage, Juice Bar, Personal Training",https://www.powercore71.com
Muscle Forge 90,"Sydney, Australia",$40,"Juice Bar, Weights, Sauna, CrossFit",https://www.muscleforge90.com
Core Strength 1,"New York, USA",$84,"Showers, Personal Training, Sauna",https://www.corestrength1.com
Core Strength 46,"Toronto, Canada",$74,"Sauna, Group Classes, Massage, CrossFit, Personal Training",https://www.corestrength46.com
Iron Paradise 46,"Dubai, UAE",AED 304,"HIIT, Personal Training, Zumba, Group Classes, CrossFit, Swimming Pool",https://www.ironparadise46.com
Fit Republic 91,"London, UK",£47,"Sauna, Yoga, CrossFit",https://www.fitrepublic91.com
Pulse Fitness 88,"Berlin, Germany",$44,"Group Classes, Weights, HIIT, Cardio, Swimming Pool, CrossFit",https://www.pulsefitness88.com
Core Strength 91,"New York, USA",$52,"Yoga, CrossFit, Juice Bar",https://www.corestrength91.com
Titan Gym 86,"Nairobi, Kenya",$76,"Personal Training, Boxing, Massage, Zumba, Showers",https://www.titangym86.com
Fit Republic 83,"New York, USA",$96,"HIIT, Yoga, Personal Training, Group Classes, Weights",https://www.fitrepublic83.com
AlphaFit 34,"Los Angeles, USA",$43,"Weights, Yoga, HIIT",https://www.alphafit34.com
PowerCore 67,"New York, USA",$71,"Showers, Boxing, Yoga",https://www.powercore67.com
Pulse Fitness 24,"Sydney, Australia",$83,"Yoga, CrossFit, Showers, Boxing, Personal Training",https://www.pulsefitness24.com
Titan Gym 99,"Nairobi, Kenya",$45,"CrossFit, Group Classes, Massage, Swimming Pool, Weights, Yoga",https://www.titangym99.com
Pulse Fitness 16,"Berlin, Germany",$56,"Cardio, Yoga, Group Classes, Massage, CrossFit",https://www.pulsefitness16.com
Pulse Fitness 42,"London, UK",£61,"Personal Training, Swimming Pool, Massage, Showers, Boxing",https://www.pulsefitness42.com
Pulse Fitness 41,"Berlin, Germany",$70,"HIIT, Juice Bar, Sauna, Cardio, Swimming Pool, Yoga",https://www.pulsefitness41.com
Fit Republic 81,"Cape Town, South Africa",R1193,"Juice Bar, Cardio, CrossFit, Boxing, Sauna, Yoga",https://www.fitrepublic81.com
Beast Mode 38,"Berlin, Germany",$65,"Massage, Personal Training, Zumba, HIIT, Sauna",https://www.beastmode38.com
Pulse Fitness 84,"Cape Town, South Africa",R810,"Zumba, Showers, Weights",https://www.pulsefitness84.com
AlphaFit 67,"Cape Town, South Africa",R1144,"Showers, Yoga, Personal Training, Group Classes, Weights",https://www.alphafit67.com
Core Strength 19,"Sydney, Australia",$72,"Juice Bar, Boxing, CrossFit, Zumba",https://www.corestrength19.com
Muscle Forge 1,"Berlin, Germany",$66,"Personal Training, Group Classes, Swimming Pool",https://www.muscleforge1.com
Fit Republic 48,"Berlin, Germany",$49,"Swimming Pool, Massage, CrossFit, Sauna",https://www.fitrepublic48.com
Iron Paradise 46,"Dubai, UAE",AED 457,"Yoga, Showers, Boxing, Sauna",https://www.ironparadise46.com
Core Strength 17,"Toronto, Canada",$62,"CrossFit, Sauna, Swimming Pool",https://www.corestrength17.com
PowerCore 7,"Sydney, Australia",$53,"CrossFit, Juice Bar, Weights, Cardio, Group Classes, Swimming Pool",https://www.powercore7.com
Iron Paradise 39,"Sydney, Australia",$81,"Group Classes, Personal Training, Cardio",https://www.ironparadise39.com
PowerCore 91,"Cape Town, South Africa",R934,"Personal Training, CrossFit, HIIT, Sauna, Showers, Cardio",https://www.powercore91.com
Flex Nation 69,"Dubai, UAE",AED 424,"Weights, Personal Training, Cardio, Juice Bar, Group Classes, Swimming Pool",https://www.flexnation69.com
Fit Republic 30,"Toronto, Canada",$71,"Group Classes, Zumba, Showers, Sauna, HIIT",https://www.fitrepublic30.com
PowerCore 33,"Lagos, Nigeria",₦23838,"Cardio, Group Classes, Showers, Juice Bar, CrossFit",https://www.powercore33.com
AlphaFit 68,"New York, USA",$44,"CrossFit, Boxing, Showers, Weights",https://www.alphafit68.com
AlphaFit 35,"Lagos, Nigeria",₦36193,"Showers, Juice Bar, Yoga, HIIT",https://www.alphafit35.com
Beast Mode 25,"Dubai, UAE",AED 351,"Juice Bar, CrossFit, Massage, Personal Training",https://www.beastmode25.com
Iron Paradise 28,"Lagos, Nigeria",₦22776,"Showers, Yoga, Cardio, Group Classes",https://www.ironparadise28.com
Titan Gym 70,"Toronto, Canada",$75,"Showers, Boxing, CrossFit, Personal Training, HIIT, Zumba",https://www.titangym70.com
Beast Mode 9,"Toronto, Canada",$56,"Sauna, Juice Bar, CrossFit, Boxing",https://www.beastmode9.com
